id,long,lat,streets
119,106.654558067125,10.7656727968793,[78]
120,106.652758626125,10.7711359697642,"[79, 80, 81]"
121,106.653272752125,10.7755757230929,[80]
122,106.655907647875,10.7783465880028,"[80, 47]"
123,106.65812481625,10.7702543076283,"[81, 82, 47]"
124,106.663606734725,10.7763896646602,"[82, 83]"
125,106.672054467562,10.7828649335818,"[82, 46]"
126,106.661418485938,10.7734975647712,[82]
127,106.664789224525,10.7733416995007,[83]
128,106.658851019225,10.7807348846325,"[83, 84]"
129,106.664596427275,10.7868558445562,"[84, 46]"
130,106.661794440575,10.7837449806172,[84]
131,106.656087591975,10.7778128816366,"[84, 47]"
132,106.665573266675,10.7778506661581,"[85, 82]"
133,106.668015365175,10.7746137921498,[85]
134,106.670769152562,10.769637668932,"[85, 89]"
135,106.671101192271,10.7698161005548,"[85, 89]"
136,106.671551052521,10.7677903768377,"[85, 28]"
137,106.671818826479,10.7666463152566,[85]
138,106.672268686729,10.7646100510402,"[85, 92]"
139,106.672675703146,10.76277320638,[85]
140,106.673146985312,10.7607474291262,"[85, 36]"
141,106.673296938729,10.7600756687933,"[85, 93]"
142,106.674089523792,10.7575040539528,"[85, 31, 94]"
143,106.669429211675,10.7808608330374,"[82, 87]"
144,106.664583574125,10.7771453550902,"[82, 86]"
145,106.662639535187,10.7787637920943,[86]
146,106.660676166525,10.7825988728502,"[86, 84]"
147,106.665573266675,10.7838583319348,[87]
148,106.667095293854,10.7676434331484,"[83, 88, 89]"
149,106.667598708896,10.7656176915395,[88]
150,106.642347624625,10.7541871496533,"[89, 33]"
151,106.649304342063,10.7579029221914,[89]
152,106.653320951438,10.7601071575589,[89]
153,106.659972456562,10.7637677265603,"[89, 47]"
154,106.661611283187,10.764586434466,[89]
155,106.664053381687,10.7658696016644,[89]
156,106.668005725312,10.7680947601942,"[28, 89]"
157,106.6744483395,10.7676565531207,"[28, 90, 92]"
158,106.6786898625,10.7663340599168,[28]
159,106.681662141875,10.7653579092233,"[28, 41, 93, 94, 49]"
160,106.676467347292,10.7621749198336,"[90, 93]"
161,106.673098786,10.7708289624133,"[90, 89]"
162,106.677666969958,10.7588266144244,"[90, 31]"
163,106.67819501815,10.7571692145631,"[90, 95]"
164,106.678984412708,10.7547014797503,"[90, 50]"
165,106.6777901455,10.7737258522885,"[91, 89]"
166,106.67903046965,10.7726741553121,[91]
167,106.68210236055,10.7700039785576,[91]
168,106.68428738755,10.7680643218585,"[91, 41]"
169,106.676906494875,10.7744185721221,[91]
170,106.671909869625,10.7749066221914,[91]
171,106.679926973375,10.7752057496533,[89]
172,106.681662141875,10.7778034355062,"[89, 46]"
173,106.666142018562,10.7560870220527,"[92, 93, 31, 33]"
174,106.668905445812,10.7598657436893,"[92, 88, 36]"
175,106.670683464896,10.7623113711512,[92]
176,106.671636740187,10.7734739488211,[90]
177,106.689502518688,10.7735447966713,"[41, 46]"
178,106.687205018125,10.7711879248544,[41]
179,106.68446733095,10.7683162253259,[41]
180,106.6917357535,10.775906337656,[41]
181,106.693053201375,10.7773232572122,[41]
182,106.69398505475,10.7782678702497,[41]
183,106.694997240313,10.7794328929958,[41]
184,106.69588732095,10.7804011213592,[41]
185,106.696973412125,10.7816054744972,[41]
186,106.69809806275,10.7828019606276,[41]
187,106.69964049075,10.7844864871533,[41]
188,106.701632729,10.7865016216886,[41]
189,106.703512502187,10.7885010129854,[41]
190,106.70737808705,10.7926430126838,[41]
191,106.7099872765,10.7954011551803,[41]
192,106.678673796125,10.7636234030513,[93]
193,106.675064217208,10.7612092643551,"[93, 36]"
194,106.671368966229,10.7588685994452,[93]
195,106.669430282771,10.7575670331484,"[93, 88]"
196,106.668037858187,10.7636890046463,[88]
197,106.668466296521,10.7618075509015,[88]
198,106.669655212896,10.7566433382802,"[88, 31]"
199,106.669583449475,10.7545870675451,"[88, 95]"
200,106.669494548521,10.7534313993065,"[88, 94]"
201,106.669430282771,10.7526546558946,"[88, 50]"
202,106.66930710675,10.7499360216366,[88]
203,106.671786693604,10.7570631995839,[31]
204,106.675792559542,10.7580498736477,[31]
205,106.680162613542,10.7598447511789,[31]
206,106.683375888542,10.7611357905687,"[31, 49]"
207,106.667887904771,10.7525706836338,"[94, 50]"
208,106.671229723771,10.7543970803051,[94]
209,106.671961282225,10.7550531135922,"[94, 95]"
210,106.677099291375,10.7604640302358,[94]
211,106.679091521875,10.7625003037448,[94]
212,106.68404317865,10.7594742333703,"[49, 95]"
213,106.685228877125,10.7564544006935,"[49, 50]"
214,106.68669091725,10.7540297016644,[49]
215,106.687783409875,10.7506445563107,[49]
216,106.658762118271,10.752927565742,[95]
217,106.657391115604,10.7528855796117,[95]
218,106.653567303479,10.7526756489598,[95]
219,106.650734255,10.7532582065187,"[95, 33]"
220,106.661482751688,10.7530010414702,[95]
221,106.662885887229,10.7532424617198,[95]
222,106.664181913187,10.7534523923717,[95]
223,106.666602589771,10.7539562259362,[95]
224,106.67626705315,10.7563504850208,[95]
225,106.68077849125,10.7582146692094,[95]
226,106.68663950485,10.7625223458807,[95]
227,106.687089339775,10.7633158627739,[95]
228,106.688336095325,10.7666788527878,[95]
229,106.689762794975,10.7686814853537,[95]
230,106.693284558075,10.7713516621082,"[95, 46]"
231,106.654421502406,10.7519277710125,[50]
232,106.658920104906,10.7519592606103,[50]
233,106.661482751688,10.7520563535368,[50]
234,106.664417554271,10.752255787656,[50]
